Eur Price,Boat Type,Manufacturer,Year Built,Length,Width,Material,Location,Views Last 7 Days,Boat Condition,Engine Type
3476.04,Motor Yacht,Rigiflex power boats,2017,4,1.9,nan,Switzerland ,226,new boat from stock,nan
3490,Center console boat,Terhi power boats,2020,4,1.5,Thermoplastic,Germany,75,new boat from stock,nan
3927.08,Sport Boat,Marine power boats,,3.69,1.42,Aluminium,Switzerland ,124,new boat from stock,nan
3481.18,Sport Boat,Pioner power boats,2020,3,1,nan,Denmark,64,new boat from stock,nan
3399,Fishing Boat,Linder power boats,2019,3.55,1.46,Aluminium,Germany,58,new boat from stock,nan
3802.08,Sport Boat,Linder power boats,,4.03,1.56,Aluminium,Switzerland ,132,new boat from stock,nan
3750,Catamaran,nan,1999,6.2,2.38,Aluminium,Switzerland ,474,Used boat,Unleaded
3333.33,Sport Boat,nan,,3,,nan,Denmark,134,Used boat,nan
3333,Fishing Boat,Crescent power boats,2019,3.64,1.37,nan,Germany,45,new boat from stock,nan
3300,Pontoon Boat,Whaly power boats,2018,4.35,1.73,nan,Italy,180,new boat from stock,nan
3645.83,Fishing Boat,Terhi power boats,1987,4.35,1.75,GRP,Switzerland ,239,Used boat,Electric
3625,Fishing Boat,Marine power boats,,4.13,1.41,Aluminium,Switzerland ,145,new boat from stock,nan
3500,Sport Boat,GS Nautica power boats,2004,4.7,2,GRP,Italy,69,Used boat,nan
4791.67,Runabout,Kimple power boats,2020,4.4,1.65,Aluminium,Switzerland ,113,new boat from stock,nan
4687.5,Fishing Boat,Italmarine power boats,1997,3.72,1.33,Aluminium,Switzerland ,413,Used boat,Unleaded
4583.33,Deck Boat,Buster power boats,,3.88,1.49,Aluminium,Switzerland ,263,new boat from stock,Unleaded
4562.5,Sport Boat,Linder power boats,,4.31,1.64,Aluminium,Switzerland ,462,new boat from stock,nan
4032.26,Sport Boat,nan,1985,4,1,nan,Denmark,124,Used boat,nan
4000,Pilothouse,BÃ©nÃ©teau power boats,1981,8,2.84,PVC,France,265,Used boat,Diesel
4000,Cabin Boat,nan,2011,6.37,2.31,GRP,Germany,330,Used boat,Unleaded
3999,Fishing Boat,Linder power boats,2019,3.55,1.46,Aluminium,Germany,69,new boat from stock,nan
4444.79,Fishing Boat,Quicksilver (Brunswick Marine) power boats,,3.78,1.71,GRP,Switzerland ,198,new boat from stock,Unleaded
3930,Sport Boat,Linder power boats,2020,4.31,1.64,Aluminium,Germany,90,new boat from stock,Unleaded
3900,Sport Boat,Kammin power boats,1979,5.6,2.1,GRP,Germany,98,Used boat,Unleaded
3900,Cabin Boat,nan,1985,6.53,2.47,nan,France,383,Used boat,nan
4375,Fishing Boat,Bucher power boats,1998,5.7,1.55,GRP,Switzerland ,160,Used boat,Unleaded
4375,Fishing Boat,MÃ¤ndli power boats,,4,1.5,GRP,Switzerland ,295,Used boat,Unleaded
4197.92,Fishing Boat,Linder power boats,2018,3.55,1.46,Aluminium,Switzerland ,130,new boat from stock,nan
4166.67,Fishing Boat,nan,1994,5.6,1.58,GRP,Switzerland ,641,Used boat,Unleaded
4140.63,Fishing Boat,Terhi power boats,2020,4.01,1.5,Thermoplastic,Switzerland ,512,new boat from stock,nan
4114.58,Sport Boat,MÃ¤ndli power boats,1996,4.84,1.58,GRP,Switzerland ,202,Used boat,nan
4062.5,Sport Boat,nan,1972,5.05,1.9,GRP,Switzerland ,423,Used boat,Unleaded
4052.08,Sport Boat,Pioner power boats,,3.81,1.65,nan,Switzerland ,105,new boat on order,nan
4010.42,Sport Boat,Linder power boats,,3.55,1.46,Aluminium,Switzerland ,120,new boat from stock,nan
3958.33,Fishing Boat,Quicksilver (Brunswick Marine) power boats,1996,4.41,1.71,Aluminium,Switzerland ,255,Used boat,Unleaded
3958.33,Cabin Boat,Draco power boats,1980,6.2,2.45,GRP,Switzerland ,1804,Used boat,Unleaded
3958.33,Fishing Boat,Hensa  power boats,1974,5.4,1.67,Plastic,Switzerland ,849,Used boat,Unleaded
3947.92,Sport Boat,Pioner power boats,,3.93,1.55,nan,Switzerland ,144,new boat on order,nan
3500,Center console boat,Ibis power boats,1983,4.4,1.5,GRP,Germany,133,Used boat,Unleaded
3500,Sport Boat,Rio power boats,1991,4,1.62,nan,France,98,Used boat,Unleaded
3500,Cabin Boat,Jouandoudet power boats,1992,4.36,1.74,nan,France,393,Used boat,Unleaded
5500,Deck Boat,nan,2017,4.3,,nan,Italy,201,new boat from stock,nan
5500,Sport Boat,Corsiva power boats,2018,5.2,2.2,GRP,Germany,186,new boat from stock,nan
5500,Center console boat,Saver power boats,1997,4.4,1.78,PVC,Spain,118,Used boat,Unleaded
5500,Sport Boat,Ilver power boats,1961,5.5,2.06,GRP,Italy,74,Used boat,nan
6145.83,Sport Boat,Skibsplast power boats,1980,5.85,2.23,GRP,Switzerland ,543,Used boat,nan
5450,Sport Boat,Allegra power boats,2018,4.3,1.75,nan,Italy,57,new boat from stock,nan
6093.75,Sport Boat,Marine power boats,,4.45,1.67,Aluminium,Switzerland ,219,new boat from stock,nan
5399,Fishing Boat,Linder power boats,2018,4.01,1.64,Aluminium,Germany,67,new boat from stock,nan
5362.9,Deck Boat,nan,2015,4.3,,nan,Denmark,217,new boat from stock,nan
5937.5,Sport Boat,nan,2000,4.15,1.67,GRP,Switzerland ,389,Used boat,Unleaded
5250,Sport Boat,nan,1993,4.5,1.9,GRP,Germany,178,Used boat,Unleaded
5200,Fishing Boat,Viking power boats,2020,4.2,1.85,Aluminium,Germany,141,new boat from stock,nan
5729.17,Sport Boat,Staempfli power boats,1968,4.05,1.58,GRP,Switzerland ,278,Used boat,nan
5729.17,Runabout,Kimple power boats,2020,4,1.65,Aluminium,Switzerland ,99,new boat from stock,nan
7593.75,Sport Boat,Linder power boats,,4.51,1.75,Aluminium,Switzerland ,195,new boat from stock,nan
7500,Sport Boat,Fiberline power boats,1987,3.95,1.55,Plastic,Switzerland ,1201,Used boat,Unleaded
6653.23,Fishing Boat,Uttern power boats,2007,5,2,nan,Denmark,204,Used boat,nan
6590,Runabout,Schweizer power boats,1972,5.5,1.9,GRP,Germany,277,Used boat,Unleaded
6500,Cabin Boat,Cranchi power boats,1990,6.28,2.27,GRP,Italy,85,Used boat,Diesel
6500,Deck Boat,Corsiva power boats,2018,5.7,2.2,GRP,Germany,122,new boat from stock,nan
6500,Pontoon Boat,Brig power boats,2010,5,2.15,GRP,Italy,183,Used boat,Unleaded
6500,Cabin Boat,Dawncraft power boats,1968,8,2.1,GRP,Germany,289,Used boat,Unleaded
6500,Sport Boat,Invader power boats,1991,4.5,2.1,GRP,Austria,324,Used boat,Unleaded
6500,Classic,nan,1975,6.67,2.04,Wood,Spain,184,Used boat,Unleaded
6490,Cabin Boat,Hille power boats,1994,4.75,1.86,GRP,Germany,126,Unleaded,nan
7291.67,Sport Boat,Bienchen  power boats,2018,3.2,1.5,GRP,Switzerland ,238,Used boat,nan
7291.67,Cabin Boat,Fjord power boats,1980,7.26,2.9,GRP,Switzerland ,866,Used boat,Unleaded
7291.67,Bowrider,Ecofiber power boats,2000,4.15,1.65,GRP,Switzerland ,574,Used boat,Unleaded
7800,Sport Boat,Pollini power boats,2019,5.2,2.06,nan,Italy,119,new boat from stock,nan
8645.83,"Sport Boat,Working Boat",Italmarine power boats,1986,4.28,1.65,Aluminium,Switzerland ,205,Used boat,Unleaded
8541.67,Pilothouse,Lambro power boats,,6.16,2.48,GRP,Switzerland ,463,Used boat,nan
7640,Deck Boat,Elan power boats,1985,4.5,2.1,GRP,Germany,200,Used boat,Unleaded
8494.79,Bowrider,Terhi power boats,2020,4.45,1.85,Thermoplastic,Switzerland ,462,new boat from stock,Unleaded
7500,Center console boat,Fletcher power boats,1996,4.5,1.7,GRP,Germany,201,Used boat,Unleaded
7500,Cabin Boat,nan,1971,8.5,2.2,Steel,Netherlands,264,Used boat,Diesel
7500,Sport Boat,Sessa power boats,1997,5.8,2.2,nan,Italy,336,Used boat,Unleaded
7500,Sport Boat,Fjord power boats,1971,5.7,2.2,GRP,Austria,137,Used boat,Unleaded
7500,Sport Boat,Ultramar power boats,1994,5.5,2.45,PVC,France,208,Used boat,Unleaded
7500,Cabin Boat,Yachting France power boats,1981,6.4,2.54,GRP,France,189,Used boat,Unleaded
7500,Center console boat,B2 Marine power boats,2005,5.23,2.15,PVC,France,131,Used boat,Unleaded
7500,Sport Boat,Volvo power boats,1995,5.8,2.28,GRP,Germany,490,Used boat,Unleaded
7500,Catamaran,nan,2010,4.4,3,nan,Netherlands,145,Used boat,nan
8790,Sport Boat,Fiberline power boats,2019,4.4,1.65,nan,Germany,96,new boat from stock,nan
9791.67,Sport Boat,Sunseeker power boats,1976,5.85,2.3,GRP,Switzerland ,280,Used boat,Unleaded
8600,Sport Boat,Mingolla power boats,2019,5,2.1,nan,Italy,146,Used boat,nan
8600,Sport Boat,Allegra power boats,2018,5.3,2.2,nan,Italy,166,new boat from stock,nan
9651.04,Sport Boat,Karel power boats,2020,4.8,1.9,GRP,Switzerland ,873,new boat on order,Unleaded
9583.33,Sport Boat,Beekmann power boats,1990,5.18,2.18,GRP,Switzerland ,258,Used boat,Unleaded
8500,Deck Boat,Salmeri Boote power boats,2018,5.53,2.18,nan,Italy,221,new boat from stock,nan
8500,Runabout,nan,1975,4,1.62,GRP,Slovenia,110,Used boat,Unleaded
8500,Center console boat,B2 Marine power boats,2001,5,1.98,nan,France,96,Used boat,Unleaded
8500,Center console boat,Allegra power boats,2018,5.3,2.2,GRP,Italy,165,Used boat,nan
8500,Sport Boat,Sunbird power boats,1994,5.74,2.31,PVC,France,78,Used boat,Unleaded
8500,Pilothouse,Jeanneau power boats,2006,5.8,2.5,PVC,France,116,Used boat,Unleaded
8500,Sport Boat,Hellwig power boats,2016,3.1,1.4,GRP,Germany,250,Used boat,Unleaded
8500,Center console boat,Janmor power boats,2005,5.3,2.33,nan,France,173,Used boat,Unleaded
8500,"Deck Boat,Pilothouse,Sport Boat",nan,1998,7.9,2.5,Aluminium,Germany,738,Used boat,Unleaded
10937.5,Sport Boat,nan,2019,3.38,1.36,Wood,Switzerland ,503,Used boat,Unleaded
9750,Trawler,Gouwerok power boats,1980,8.5,3,Steel,Netherlands,183,Used boat,nan
10937.5,Fishing Boat,Marino CN power boats,2011,4.5,1.95,GRP,Switzerland ,465,Used boat,Unleaded
10937.5,Fishing Boat,Orkney power boats,2016,,,nan,Switzerland ,393,Used boat,nan
10885.42,Sport Boat,Marine power boats,,4.45,1.67,Aluminium,Switzerland ,162,new boat from stock,nan
9650,Sport Boat,nan,1994,5.5,2.2,GRP,Germany,115,Used boat,Unleaded
10833.33,Sport Boat,Draco power boats,1984,6,2.3,GRP,Switzerland ,418,Used boat,Unleaded
9599,Cabin Boat,Crescent power boats,1992,5.65,2.2,GRP,Germany,185,Unleaded,nan
9575,Sport Boat,Sting power boats,2016,4.88,2.03,GRP,Germany,64,new boat from stock,nan
10781.25,Sport Boat,Linder power boats,,4.51,1.75,Aluminium,Switzerland ,168,new boat from stock,nan
9553,Motor Yacht,Moonday power boats,2019,4.8,2,GRP,Netherlands,91,new boat from stock,nan
9500,Cabin Boat,Gouwerok power boats,1964,8.4,2.85,Steel,Netherlands,138,Used boat,nan
9500,Sport Boat,Trimarchi  power boats,2019,5.7,2.1,GRP,Italy,184,new boat from stock,Gas
9500,Motor Yacht,Cox Marine power boats,1985,6.8,2.5,GRP,Germany,162,Used boat,Diesel
9500,Cabin Boat,nan,1975,9,3,Steel,Netherlands,303,Used boat,nan
9500,Launch,Majoni power boats,1998,3.99,1.74,nan,Spain,96,Used boat,nan
11458.33,Sport Boat,Supra power boats,1991,6.18,2.42,GRP,Switzerland ,256,Used boat,Unleaded
11458.33,Pontoon Boat,MÃ¤ndli power boats,2006,7,1.9,Wood,Switzerland ,230,Used boat,nan
11458.33,Fishing Boat,MÃ¤ndli power boats,2006,6,1.6,GRP,Switzerland ,182,Used boat,Unleaded
11447.92,Sport Boat,Buster power boats,,4.43,1.82,Aluminium,Switzerland ,109,new boat from stock,nan
10115,Sport Boat,Italmar power boats,2020,4.99,2.1,GRP,Germany,115,new boat from stock,nan
11354.17,Runabout,Safter Marine power boats,2020,4.5,1.65,GRP,Switzerland ,159,new boat on order,nan
11354.17,Sport Boat,Century power boats,1994,5.51,2.21,nan,Switzerland ,1057,Used boat,Unleaded
10000,Sport Boat,Bayliner power boats,1993,8.5,2.6,GRP,Italy,585,Used boat,Unleaded
10000,Sport Boat,Cigala & Bertinetti power boats,1979,7.25,2.37,GRP,Italy,185,Used boat,Unleaded
10000,Sport Boat,Allegra power boats,2018,5.9,2.38,nan,Italy,155,new boat from stock,nan
10000,Trawler,nan,1978,7.8,2.45,Steel,Netherlands,186,Used boat,nan
